m49,name,slug,iso3,iso2
12,Algeria,algeria,DZA,DZ
24,Angola,angola,AGO,AO
204,Benin,benin,BEN,BJ
72,Botswana,botswana,BWA,BW
854,Burkina Faso,burkina faso,BFA,BF
108,Burundi,burundi,BDI,BI
132,Cabo Verde,cabo verde,CPV,CV
120,Cameroon,cameroon,CMR,CM
140,Central African Republic,central african republic,CAF,CF
148,Chad,chad,TCD,TD
178,Congo,congo,COG,CG
384,C̫te d'Ivoire,co te d ivoire,CIV,CI
818,Egypt,egypt,EGY,EG
231,Ethiopia,ethiopia,ETH,ET
270,Gambia,gambia,GMB,GM
288,Ghana,ghana,GHA,GH
324,Guinea,guinea,GIN,GN
624,Guinea-Bissau,guinea bissau,GNB,GW
404,Kenya,kenya,KEN,KE
450,Madagascar,madagascar,MDG,MG
454,Malawi,malawi,MWI,MW
466,Mali,mali,MLI,ML
480,Mauritius,mauritius,MUS,MU
504,Morocco,morocco,MAR,MA
508,Mozambique,mozambique,MOZ,MZ
516,Namibia,namibia,NAM,
562,Niger,niger,NER,NE
566,Nigeria,nigeria,NGA,NG
646,Rwanda,rwanda,RWA,RW
686,Senegal,senegal,SEN,SN
694,Sierra Leone,sierra leone,SLE,SL
710,South Africa,south africa,ZAF,ZA
768,Togo,togo,TGO,TG
788,Tunisia,tunisia,TUN,TN
894,Zambia,zambia,ZMB,ZM
716,Zimbabwe,zimbabwe,ZWE,ZW
